ticket_id,user_id,created_date,priority,category,first_response_hours,resolution_hours
55,35963,2025-11-03,High,Bug,10.6,37.1
56,33645,2025-02-25,Low,Performance,8.0,17.8
57,2923,2025-10-24,Low,Billing,3.8,14.3
58,44934,2025-11-18,Medium,How To,6.0,8.8
59,7866,2024-10-02,Medium,Billing,16.4,15.1
60,18409,2023-12-31,Medium,Bug,13.2,66.7
61,5141,2025-12-09,High,Performance,2.1,31.3
62,42661,2022-04-19,Medium,Billing,5.4,13.4
63,33976,2023-06-03,Low,Billing,2.7,15.6
64,31401,2024-03-17,Medium,Performance,7.8,7.6
65,1015,2024-03-04,Low,Integrations,4.1,30.7
66,3781,2022-04-04,Low,How To,9.1,29.4
67,18013,2023-11-01,Low,Performance,4.9,11.5
68,47140,2024-08-15,Low,Bug,1.9,30.2
69,25413,2023-07-01,Medium,Performance,6.1,36.6
70,13233,2022-02-25,Low,How To,3.2,7.2
71,45146,2022-05-11,Low,Integrations,8.5,10.0
72,41713,2023-06-28,Low,Billing,1.7,14.4
73,2691,2025-03-06,Low,How To,1.6,12.0
74,40461,2023-10-05,Low,Billing,2.2,48.7
75,5138,2022-09-27,High,How To,2.3,36.9
76,47499,2024-04-17,Low,How To,8.3,6.2
77,29014,2024-10-04,High,Performance,1.5,17.5
78,43359,2022-12-23,Medium,Performance,4.9,15.6
79,4393,2022-04-29,High,Performance,3.3,36.6
80,24998,2023-12-21,Low,Integrations,9.8,29.9
81,20848,2025-12-22,Low,Performance,0.7,36.9
82,575,2023-03-08,High,How To,6.4,6.7
83,11972,2024-02-07,High,How To,6.3,42.1
84,36478,2022-07-07,Low,Integrations,5.9,6.4
85,27091,2023-03-29,Medium,Bug,5.5,20.6
86,40151,2022-08-10,Low,Billing,6.9,31.6
87,15645,2024-06-30,Urgent,Billing,1.8,19.3
88,17706,2023-07-20,Medium,Integrations,3.2,37.0
89,3489,2024-04-07,Medium,How To,2.2,24.5
90,29011,2024-09-13,Medium,Bug,6.5,14.8
91,45647,2023-01-14,Low,Integrations,5.4,18.3
92,13129,2025-03-03,Low,Performance,3.4,30.5
93,27815,2024-02-06,Medium,Billing,3.8,26.0
94,39186,2025-08-13,Medium,How To,7.7,14.1
95,36631,2025-10-28,High,Billing,3.3,16.2
96,14123,2024-07-14,Low,Integrations,1.6,2.1
97,23631,2025-05-23,Low,How To,10.2,1.0
98,20512,2023-05-12,Low,Integrations,10.9,22.4
99,29051,2022-04-03,Medium,Performance,9.6,7.3
100,13329,2025-04-22,Medium,How To,7.0,19.5
101,1052,2023-04-23,Medium,Integrations,15.6,31.8
102,590,2022-10-25,High,How To,2.9,35.9
103,34213,2025-01-01,Low,Billing,0.9,24.1
104,6371,2023-02-27,High,Integrations,2.9,42.0
105,49533,2025-05-28,Urgent,Bug,9.4,26.2
106,48477,2022-12-29,Low,Bug,2.7,28.6
107,48666,2022-03-17,Low,Performance,2.2,29.0
108,29516,2022-02-18,Low,Billing,1.3,32.5
109,10707,2024-06-15,Low,Performance,5.8,36.1
110,40589,2024-05-13,Urgent,Performance,5.0,21.0
111,40676,2022-11-04,Low,Billing,10.2,15.9
112,20185,2023-10-16,High,Billing,5.1,13.1
113,33631,2022-10-28,Low,Performance,8.9,27.1
114,49917,2023-08-20,Medium,Billing,1.3,26.0
115,37835,2025-06-25,Medium,Performance,11.6,9.5
116,48594,2024-04-04,Medium,How To,7.2,66.0
117,34384,2025-01-07,Medium,Billing,6.7,5.9
118,26675,2022-07-11,Low,Bug,7.9,19.9
119,40087,2023-08-20,Medium,Performance,15.6,26.9
120,48676,2022-05-13,High,Integrations,2.9,23.0
121,7100,2023-10-25,Low,Integrations,6.5,27.7
122,36006,2022-12-26,Low,Bug,12.8,33.7
123,39496,2024-01-11,Medium,How To,4.5,55.6
124,47285,2022-03-11,High,Bug,5.3,7.7
125,13713,2024-03-26,Low,Performance,5.5,7.6
126,5454,2022-08-04,Low,How To,10.0,15.5
127,47753,2025-04-17,Low,Billing,7.1,7.3
128,5974,2022-02-17,Medium,Integrations,4.6,32.4
129,7681,2023-03-22,Medium,Integrations,3.4,11.6
130,17411,2024-09-14,Urgent,Bug,2.3,26.0
131,26429,2022-07-23,Urgent,Integrations,13.7,8.4
132,19020,2023-07-28,Medium,Integrations,1.7,1.0
133,9192,2022-02-13,Low,Integrations,7.9,29.9
134,14077,2025-02-18,Medium,Integrations,10.8,21.8
135,11555,2024-06-21,High,Performance,4.2,14.7
136,2175,2023-04-03,Medium,How To,23.7,8.5
137,10466,2025-12-06,Low,Performance,2.0,3.8
138,14327,2024-03-02,Low,Performance,6.3,15.5
139,19499,2022-09-16,Low,Performance,4.3,22.4
140,24801,2024-05-29,High,How To,6.9,12.4
141,3456,2025-05-02,Medium,How To,9.7,50.3
142,17777,2025-01-06,Medium,Billing,3.8,20.0
143,109,2023-12-22,Medium,How To,5.8,13.9
144,25461,2024-05-06,Medium,How To,2.5,28.4
145,43553,2025-07-11,Low,Billing,9.9,33.4
146,22989,2025-05-23,High,How To,2.6,8.3
147,26038,2024-05-31,Medium,How To,2.0,6.5
148,41525,2024-10-12,Medium,Performance,9.7,13.2
149,36183,2025-02-06,Medium,Billing,0.5,24.3
150,5724,2022-01-29,Low,Bug,3.7,28.9
151,3872,2022-08-19,Medium,Integrations,6.5,10.9
152,45990,2024-09-05,Low,How To,14.0,24.5
153,19870,2024-09-30,Low,Performance,5.3,35.6
154,35634,2025-09-30,Low,How To,12.4,6.1
155,33392,2023-02-15,Low,Integrations,3.5,52.3
156,2446,2024-12-15,Medium,Bug,6.3,18.8
157,45184,2024-05-24,Medium,How To,12.3,27.1
158,33653,2023-01-07,Urgent,Billing,2.2,11.8
159,43056,2023-12-21,Low,Performance,9.2,37.0
160,1050,2025-09-17,Low,Billing,5.3,10.5
161,22158,2024-06-17,Medium,Billing,2.4,16.7
162,20473,2022-11-08,Low,Integrations,10.4,15.5
163,9084,2024-12-10,Low,Bug,0.6,23.4
164,26752,2023-06-14,Medium,Integrations,1.4,14.6
165,14845,2023-12-11,Medium,Bug,9.2,23.8
166,39864,2025-06-08,Low,Integrations,2.1,34.3
167,19658,2025-05-30,Medium,Performance,10.1,1.0
168,18770,2022-08-04,Medium,Bug,8.7,6.5
169,30560,2022-11-18,High,Bug,16.4,6.5
170,10436,2025-10-29,Medium,Billing,10.7,19.2
171,13168,2023-09-16,High,Performance,1.9,16.4
172,43596,2024-07-28,Low,How To,3.5,9.7
173,43804,2024-12-16,Low,Bug,8.9,24.0
174,33063,2025-11-23,Medium,How To,3.9,46.1
175,44022,2024-07-01,Medium,How To,2.4,3.3
176,13595,2023-08-12,Low,Performance,7.4,3.4
177,22048,2022-12-01,High,Integrations,14.1,7.5
178,49574,2023-06-08,Medium,Bug,3.4,13.7
179,18992,2022-02-02,High,How To,6.5,50.8
180,18100,2025-08-07,High,Bug,4.7,39.8
181,6932,2025-05-22,Low,Bug,2.4,52.4
182,20031,2025-04-24,High,Integrations,5.3,10.0
183,36499,2025-09-06,Medium,Integrations,2.6,24.7
184,43246,2024-12-13,Medium,Billing,5.0,18.9
185,19182,2025-10-01,Low,Billing,18.7,11.7
186,7360,2022-11-30,High,Billing,2.7,13.5
187,13170,2024-01-08,Medium,Bug,0.3,12.5
188,42217,2022-07-06,Low,Billing,0.7,11.3
189,44543,2024-07-10,Urgent,Performance,12.2,36.8
190,24748,2025-11-04,Medium,How To,9.0,23.8
191,1998,2025-08-29,High,How To,9.5,32.8
192,30295,2025-02-03,Medium,Billing,10.9,7.6
193,10708,2025-04-14,Medium,How To,6.5,18.5
194,21987,2025-12-01,Urgent,Integrations,10.0,14.7
195,44634,2024-05-14,Medium,Bug,6.2,18.7
196,21372,2022-02-17,Medium,Integrations,2.2,1.7
197,49608,2024-05-27,High,Bug,0.8,57.2
198,6059,2022-01-14,High,Billing,0.9,13.2
199,28022,2025-05-29,Low,Billing,11.3,28.4
200,28627,2025-09-03,Medium,Billing,2.8,20.7
201,21928,2022-08-25,Medium,How To,4.0,18.5
202,2139,2023-05-29,Low,Bug,2.3,73.9
203,8565,2023-01-14,Low,Billing,4.1,18.4
204,866,2025-09-19,Low,Billing,4.0,12.9
205,16965,2022-08-17,Low,How To,2.1,18.7
206,31642,2023-11-17,Medium,Integrations,3.9,6.0
207,39689,2023-01-23,Medium,Integrations,3.6,39.7
208,28189,2025-02-07,Low,How To,10.3,10.0
209,36075,2025-01-08,High,Billing,3.5,18.0
210,49972,2023-01-24,Low,Performance,4.1,17.4
211,24523,2022-12-17,Medium,Performance,7.3,16.6
212,42453,2023-06-24,Medium,Integrations,0.3,31.5
213,47090,2022-03-16,Medium,Performance,0.2,66.1
214,38549,2022-03-02,Medium,How To,7.3,13.8
215,45940,2025-11-16,Medium,How To,6.5,31.6
216,14624,2022-03-25,Medium,How To,5.3,20.2
217,25915,2022-03-02,Low,Performance,8.5,19.6
218,42067,2025-01-24,Low,Billing,6.4,5.9
219,7055,2022-02-28,Medium,How To,2.8,25.1
220,7937,2023-09-02,High,How To,1.0,18.9
221,9426,2024-01-31,Low,How To,5.7,21.6
222,4058,2022-05-05,Low,Performance,2.5,39.2
223,21664,2023-04-12,Medium,Integrations,16.2,28.7
224,24582,2022-05-08,High,Billing,5.1,34.6
225,30097,2025-12-14,Medium,Integrations,5.8,76.7
226,6461,2023-07-31,Low,Integrations,15.8,23.3
227,48863,2022-01-15,Low,Performance,7.9,13.4
228,8540,2024-06-12,Medium,How To,10.7,16.8
229,37738,2024-08-28,Medium,Performance,6.6,23.8
230,30353,2023-12-23,Low,Billing,1.4,9.9
231,5057,2025-06-06,Low,Billing,4.6,53.2
232,8558,2024-04-07,Low,How To,2.8,53.6
233,32852,2023-06-18,Medium,Integrations,11.6,33.1
234,4908,2024-02-19,High,Bug,4.2,7.4
235,42617,2025-10-18,Urgent,Performance,2.0,28.5
236,2682,2024-02-22,Low,Integrations,2.1,67.3
237,10424,2024-10-13,Medium,How To,3.5,13.6
238,36820,2024-06-23,Low,Billing,6.5,9.1
239,22351,2024-11-26,Low,Billing,6.8,36.2
240,23533,2025-03-05,Medium,Performance,2.9,33.0
241,18275,2022-04-04,Low,How To,3.0,9.9
242,10049,2025-05-16,Low,Integrations,2.8,44.6
243,46884,2024-11-24,Low,Billing,10.7,24.6
244,33169,2024-08-25,Medium,Performance,7.6,47.2
245,42859,2025-12-31,Low,Integrations,2.4,45.8
246,28997,2025-04-08,Low,Billing,4.3,32.5
247,425,2024-02-23,High,Integrations,3.4,12.7
248,11576,2025-08-18,Medium,Billing,3.2,16.4
249,41205,2024-01-05,Low,Performance,3.2,34.4
250,18262,2025-10-10,High,Integrations,2.0,50.0
251,30762,2023-11-01,Medium,Integrations,11.1,27.2
252,38099,2024-11-17,Low,Billing,5.0,14.2
253,14487,2025-07-15,Medium,Integrations,3.6,27.7
254,19868,2023-04-22,Low,Bug,2.7,6.1
255,20608,2025-11-03,Low,How To,7.1,30.5
256,22919,2023-05-02,Medium,Billing,6.7,29.0
257,37117,2022-01-06,Medium,Bug,1.9,6.3
258,41731,2023-04-24,Medium,Integrations,1.0,16.2
259,9258,2022-12-11,Medium,Performance,8.8,4.8
260,30364,2024-06-30,Low,Integrations,1.5,9.8
261,15774,2022-11-20,Low,Integrations,6.0,17.4
262,36039,2025-10-29,Medium,Integrations,0.8,16.0
263,14701,2024-07-29,High,Billing,1.4,63.6
264,29867,2022-06-28,Low,Performance,1.4,23.3
265,15880,2025-04-09,Low,Bug,1.4,18.2
266,16530,2025-11-07,Medium,Bug,8.2,23.0
267,26803,2022-06-29,Low,Integrations,15.6,20.1
268,39441,2025-06-18,Low,Performance,1.7,49.9
269,16536,2024-01-13,Urgent,Bug,3.1,40.0
270,15690,2022-04-02,Low,Performance,8.7,7.9
271,991,2025-08-09,Low,Integrations,9.4,32.6
272,36227,2024-05-25,Medium,How To,5.5,26.3
273,47634,2025-12-25,Low,Bug,0.3,4.3
274,41530,2024-06-08,Low,Integrations,8.7,29.3
275,3003,2024-05-13,Low,Performance,2.3,17.0
276,29706,2025-08-20,Medium,Integrations,4.6,35.8
277,31250,2025-04-07,Medium,Performance,12.4,8.4
278,44284,2023-04-19,Medium,How To,1.5,15.2
279,12955,2024-05-31,Medium,Billing,7.9,9.6
280,31725,2024-07-08,Low,Billing,4.8,16.1
281,12335,2024-04-03,Medium,Bug,1.6,54.3
282,26823,2022-05-14,Low,How To,2.2,66.8
283,19757,2023-06-09,Low,How To,8.4,22.8
284,49655,2023-09-17,Medium,Performance,4.9,24.9
285,6831,2023-06-19,Low,Performance,4.5,37.0
286,22729,2024-01-21,Low,How To,9.8,18.9
287,38769,2023-11-08,Medium,How To,12.2,10.8
288,28981,2025-08-08,Low,Integrations,3.5,23.6
289,45488,2025-06-11,Low,How To,12.2,32.1
290,23896,2025-10-19,Medium,Billing,9.7,9.2
291,35490,2024-05-15,High,Billing,7.2,28.7
292,47046,2023-07-04,Medium,How To,4.4,17.3
293,2469,2024-01-07,Low,Performance,0.9,91.5
294,29596,2025-08-23,Medium,Performance,2.3,34.3
295,2721,2025-10-14,Medium,How To,3.2,16.8
296,45714,2023-08-20,Low,Bug,3.9,28.0
297,16149,2025-12-30,High,How To,6.9,6.1
298,31913,2025-01-16,High,Bug,4.8,23.6
299,40846,2025-09-13,Medium,Integrations,2.5,12.3
300,43376,2022-04-23,Medium,Bug,17.5,16.1
301,33362,2025-10-08,Medium,Bug,2.4,7.9
302,11058,2023-05-06,Low,How To,3.5,2.2
303,27608,2023-01-01,Low,Integrations,5.5,27.7
304,3938,2025-01-10,Urgent,How To,4.6,27.5
305,28321,2022-04-05,Medium,Performance,2.9,33.1
306,47309,2023-04-25,Medium,How To,7.6,13.7
307,16171,2025-01-01,Medium,Performance,4.6,13.7
308,23901,2022-10-31,Low,Integrations,8.9,19.7
309,18213,2023-11-16,Medium,Bug,3.6,14.2
310,49630,2025-05-03,Medium,Integrations,9.6,18.5
311,4825,2025-12-16,Medium,Billing,4.1,16.0
312,1540,2022-08-10,Low,Bug,5.0,27.2
313,19545,2025-08-11,Low,Integrations,3.6,13.6
314,10044,2025-03-01,Medium,How To,5.4,15.3
315,24408,2024-05-29,Low,How To,12.5,14.3
316,21595,2023-08-13,Medium,Billing,10.5,10.1
317,7544,2024-07-19,Medium,Integrations,9.9,19.9
318,28471,2022-06-23,Urgent,Billing,4.6,29.0
319,37371,2023-11-12,Medium,How To,8.1,41.5
320,47191,2023-01-06,High,How To,3.9,12.2
321,3990,2022-10-16,Medium,Billing,8.1,12.5
322,47326,2024-08-13,Low,Performance,6.6,41.8
323,40513,2023-07-25,Low,How To,1.0,17.7
324,34713,2025-10-24,Medium,How To,6.9,15.7
325,17544,2024-08-28,Low,Bug,6.1,41.9
326,15617,2022-08-21,Low,Bug,8.6,40.0
327,5329,2025-05-11,Low,Integrations,11.6,45.7
328,31144,2025-07-20,High,Billing,3.5,30.9
329,45585,2025-07-20,Medium,Performance,1.9,7.6
330,7505,2024-08-05,Low,Performance,4.4,17.4
331,27774,2024-07-31,Medium,Performance,0.6,52.7
332,27947,2025-11-19,Medium,Integrations,12.7,17.8
333,35012,2025-08-23,High,Bug,2.3,29.8
334,32807,2022-08-21,Low,Billing,6.4,26.2
335,33994,2022-12-02,Low,Billing,6.3,60.0
336,5862,2022-01-03,Medium,Performance,9.7,15.4
337,32632,2023-06-04,Medium,Billing,15.8,7.8
338,18883,2023-01-11,Low,How To,5.4,9.8
339,6574,2024-05-30,Low,Performance,3.5,11.4
340,1695,2023-03-20,Low,Bug,6.0,26.9
341,45995,2023-09-16,Medium,Performance,5.2,11.2
342,19911,2024-04-17,Medium,Billing,3.3,25.4
343,41627,2024-06-28,High,Performance,3.2,65.9
344,911,2024-09-02,Medium,How To,10.7,54.9
345,13457,2024-08-29,Medium,Performance,0.7,29.7
346,36725,2025-04-30,Medium,Bug,11.3,18.2
347,39042,2022-01-09,Medium,Performance,10.9,32.0
348,18988,2022-11-08,Urgent,How To,2.3,5.2
349,31595,2023-02-21,Urgent,Bug,4.7,18.2
350,49042,2024-05-31,Urgent,Bug,7.7,9.9
351,14149,2025-04-27,Medium,How To,7.0,4.2
352,21150,2025-05-10,Medium,Integrations,7.9,44.0
353,31881,2022-05-05,Low,Bug,2.0,29.0
354,44307,2024-10-28,Medium,How To,3.0,23.7
355,4388,2023-03-14,Low,How To,8.0,3.8
356,23099,2024-12-05,Medium,Performance,3.4,3.2
357,29855,2025-05-16,Low,How To,3.1,5.3
358,4333,2022-10-21,Medium,Performance,4.5,15.6
359,18019,2023-08-23,High,Billing,3.0,22.2
360,11091,2022-03-10,Low,Performance,6.9,24.2
361,46242,2022-10-06,Low,Integrations,1.5,11.5
362,35091,2022-01-05,Low,Bug,2.9,24.6
363,13329,2025-08-13,Medium,Integrations,4.9,43.3
364,37116,2023-05-04,Medium,Performance,2.1,5.1
365,5557,2023-02-02,Low,Performance,7.1,10.8
366,34837,2022-01-20,Low,Performance,9.3,19.0
367,471,2024-05-10,Medium,How To,3.6,37.2
368,40596,2024-04-19,Medium,Performance,1.4,21.0
369,1381,2022-05-12,Medium,How To,5.7,26.8
370,23107,2023-09-22,Medium,Performance,2.2,38.4
371,37382,2023-11-24,Low,Integrations,4.8,29.0
372,41651,2022-01-12,Medium,Billing,6.7,25.3
373,35751,2024-07-14,Low,How To,5.5,22.0
374,32817,2025-08-11,Medium,Bug,3.4,54.6
375,7641,2024-09-09,Low,Performance,2.3,13.1
376,1441,2024-10-18,Medium,Performance,3.6,25.5
377,23567,2022-08-24,Medium,Billing,7.2,10.6
378,24428,2024-12-04,Low,How To,1.4,5.2
379,27611,2025-02-05,Low,How To,4.7,25.5
380,20438,2025-06-09,Medium,Performance,7.0,24.6
381,7408,2022-05-19,High,How To,7.0,23.3
382,36069,2022-05-17,Low,Bug,7.7,57.9
383,44682,2022-06-06,High,Performance,2.3,16.4
384,10327,2022-11-28,Medium,How To,13.7,32.1
385,36933,2024-11-16,Medium,How To,3.5,4.7
386,29236,2022-07-29,Low,How To,0.7,14.9
387,24945,2025-05-07,Medium,Billing,1.9,33.4
388,10855,2024-09-08,Low,Performance,13.3,11.9
389,12060,2025-09-11,Low,Performance,7.8,15.8
390,3440,2023-08-06,High,Billing,2.3,25.3
391,16939,2023-12-21,Low,How To,11.8,38.8
392,24898,2023-07-03,High,Billing,0.9,21.0
393,24057,2023-05-28,Medium,Integrations,12.0,15.1
394,48806,2022-09-22,Urgent,Bug,2.7,27.9
395,48719,2023-10-02,Low,Performance,6.4,35.7
396,25770,2023-05-29,Medium,How To,8.7,28.2
397,17188,2023-04-08,Low,How To,5.8,22.6
398,45212,2023-05-15,Medium,Bug,4.0,25.1
399,26455,2025-05-28,Low,Performance,5.7,71.8
400,6415,2022-02-07,Low,How To,5.8,35.5
401,31148,2025-01-13,Medium,Integrations,13.2,4.3
402,18654,2025-11-06,Low,How To,5.5,27.0
403,35775,2023-07-10,Low,Billing,3.7,17.7
404,27757,2025-09-04,Low,Billing,3.0,26.2
405,9791,2025-05-15,Low,Performance,3.8,20.2
406,25404,2025-03-19,Medium,How To,7.9,5.0
407,45902,2025-07-26,Medium,Bug,9.6,14.6
408,46315,2024-04-09,Low,How To,4.3,13.5
409,34237,2022-01-25,Low,How To,5.1,57.7
410,42344,2023-09-11,Low,Billing,4.5,36.1
411,9802,2025-12-29,Urgent,Integrations,15.5,49.0
412,35372,2024-06-05,Medium,Bug,5.9,33.2
413,17665,2024-09-03,High,Integrations,2.2,12.6
414,19357,2022-03-20,Medium,How To,4.3,15.3
415,42159,2024-05-01,Medium,How To,2.1,13.3
416,24281,2023-02-02,Low,Bug,7.2,21.5
417,27058,2022-08-18,Low,How To,1.4,7.2
418,30439,2023-09-15,Low,Bug,4.2,22.3
419,41337,2023-02-23,Low,Bug,2.3,57.2
420,42841,2025-01-08,Medium,Bug,1.6,7.9
421,14580,2023-04-16,Medium,How To,6.3,32.7
422,29790,2024-10-10,High,How To,0.6,20.4
423,13138,2024-12-29,Low,Performance,1.0,31.2
424,18174,2023-09-01,Medium,Bug,1.9,38.0
425,11364,2025-12-15,Medium,Billing,9.2,24.8
426,6007,2025-05-13,High,Billing,7.2,1.7
427,36215,2023-03-19,Low,Performance,2.9,9.1
428,46523,2023-11-10,Medium,How To,2.6,31.5
429,17638,2024-07-22,Low,Integrations,12.7,25.7
430,17073,2024-05-09,Medium,Performance,4.0,37.7
431,36161,2024-03-02,Low,How To,9.4,26.5
432,20653,2024-12-20,Low,Performance,1.7,14.0
433,40737,2025-08-14,Medium,Billing,6.1,2.7
434,42058,2023-12-27,Medium,Bug,2.2,10.0
435,1595,2024-12-01,Medium,Integrations,7.3,20.1
436,9967,2022-05-27,Low,How To,5.6,13.1
437,35926,2022-10-28,High,Billing,0.2,26.9
438,19738,2023-10-14,High,Integrations,10.5,23.2
439,48432,2023-04-22,Medium,How To,2.8,25.9
440,34521,2023-01-15,Medium,Bug,4.0,53.8
441,25386,2023-12-16,High,Bug,2.5,5.7
442,45237,2025-09-28,High,Billing,7.8,28.0
443,43378,2023-12-28,Low,Bug,4.7,38.4
444,7988,2024-12-11,Low,Integrations,1.1,6.7
445,39306,2025-06-11,Low,Integrations,2.3,23.0
446,9226,2022-08-09,Low,How To,3.3,16.1
447,12732,2023-09-30,Medium,Bug,9.0,39.0
448,36158,2024-11-03,Low,Integrations,2.3,34.6
449,18455,2025-12-22,Urgent,Performance,1.2,59.3
450,37819,2023-12-23,Medium,Billing,3.8,20.9
451,31161,2023-10-06,Low,Bug,6.1,10.9
452,23991,2023-01-16,Medium,Bug,5.6,40.1
453,32140,2022-11-30,Medium,Integrations,5.5,26.3
454,12464,2022-08-04,Low,How To,9.6,43.8
455,17801,2023-03-13,Medium,Billing,12.2,46.5
456,8944,2024-03-02,Medium,Billing,1.4,14.3
457,34295,2024-03-17,Medium,Integrations,1.8,32.6
458,3406,2025-02-08,Low,Performance,6.4,43.6
459,14127,2024-05-08,High,Bug,8.1,59.1
460,14448,2025-03-09,Low,Billing,2.1,10.4
461,30826,2024-11-21,Medium,Bug,9.0,7.5
462,18613,2025-03-25,Low,Integrations,7.1,7.5
463,5198,2024-04-29,Low,Bug,1.1,16.6
464,3356,2022-09-17,Low,How To,7.8,15.3
465,26854,2023-10-29,Low,Integrations,9.9,28.7
466,49299,2023-06-20,Low,Billing,2.0,44.0
467,17844,2024-08-18,Medium,Bug,2.1,4.3
468,14120,2022-07-28,Low,Bug,2.0,50.0
469,38554,2022-11-22,Medium,Billing,1.7,9.2
470,15105,2023-04-07,Low,Billing,3.0,22.8
471,10637,2024-06-20,Medium,Bug,7.7,12.6
472,14734,2023-03-23,High,Bug,4.1,18.5
473,28793,2023-04-09,Medium,Integrations,4.4,30.7
474,25649,2025-11-30,Low,How To,4.2,47.0
475,48266,2024-06-03,Medium,Performance,11.2,26.8
476,47707,2022-12-20,High,How To,4.5,28.1
477,43686,2025-12-02,Low,Performance,21.8,25.7
478,47138,2025-06-21,High,Performance,6.4,22.7
479,5613,2023-09-22,High,Integrations,2.8,11.9
480,11904,2023-06-23,Low,How To,6.0,20.6
481,41580,2024-06-22,Low,Bug,5.2,35.9
482,18222,2023-07-03,Low,Billing,6.6,41.4
483,42639,2024-08-20,Medium,Bug,7.5,7.8
484,20248,2023-09-25,Low,How To,2.1,22.9
485,20559,2024-01-15,High,Billing,2.9,41.9
486,43392,2024-12-22,Medium,Integrations,7.5,60.7
487,27861,2025-03-18,Medium,Billing,8.0,2.9
488,43076,2022-12-12,High,Performance,6.9,12.3
489,23873,2025-04-17,Urgent,Integrations,10.4,29.6
490,38116,2025-06-29,Low,Performance,10.4,29.1
491,7469,2022-08-09,Urgent,Performance,2.7,10.5
492,3729,2023-08-26,Low,How To,13.3,28.0
493,32270,2025-10-27,Low,Bug,6.7,20.3
494,12165,2023-02-01,High,Billing,4.4,19.6
495,8437,2022-09-10,High,Bug,6.2,30.7
496,19924,2022-01-19,Low,Bug,6.9,11.6
497,19348,2025-10-14,Low,How To,8.2,25.5
498,16152,2025-09-08,Low,Integrations,3.2,14.9
499,42278,2024-10-04,Medium,Performance,0.4,19.2
500,45689,2023-12-04,Medium,Integrations,5.6,27.5
501,27727,2023-02-10,High,Bug,1.4,38.9
502,41550,2022-11-19,Medium,Billing,8.1,6.2
503,1105,2022-03-11,Medium,Bug,3.1,17.6
504,48786,2022-01-18,High,Performance,6.0,31.9
505,34079,2024-02-15,Low,How To,5.0,30.9
506,30384,2025-05-02,Medium,How To,7.0,24.8
507,15434,2022-04-13,Medium,Bug,1.4,92.8
508,42088,2024-07-07,Medium,Bug,17.1,20.4
509,6078,2023-11-30,Medium,Integrations,9.3,29.0
510,49030,2023-06-02,Low,Integrations,3.7,62.8
