campaign_id,campaign_month,channel,spend,trial_signups,paid_conversions
151,2024-07-01,Organic Search,1306.95,256,32
152,2024-07-01,Google Ads,14450.59,390,65
153,2024-07-01,LinkedIn Ads,19126.74,243,54
154,2024-07-01,Content Marketing,4341.08,180,36
155,2024-07-01,Email Referral,852.39,168,21
156,2024-08-01,Organic Search,1302.23,256,32
157,2024-08-01,Google Ads,14743.15,402,67
158,2024-08-01,LinkedIn Ads,17025.46,216,48
159,2024-08-01,Content Marketing,4810.42,200,40
160,2024-08-01,Email Referral,823.97,160,20
161,2024-09-01,Organic Search,1313.61,256,32
162,2024-09-01,Google Ads,14931.71,402,67
163,2024-09-01,LinkedIn Ads,18978.96,243,54
164,2024-09-01,Content Marketing,4287.4,175,35
165,2024-09-01,Email Referral,740.6,144,18
166,2024-10-01,Organic Search,1096.99,216,27
167,2024-10-01,Google Ads,16127.45,438,73
168,2024-10-01,LinkedIn Ads,16678.72,211,47
169,2024-10-01,Content Marketing,4910.77,200,40
170,2024-10-01,Email Referral,854.41,168,21
171,2024-11-01,Organic Search,1188.17,232,29
172,2024-11-01,Google Ads,14885.52,402,67
173,2024-11-01,LinkedIn Ads,17274.53,220,49
174,2024-11-01,Content Marketing,4420.04,180,36
175,2024-11-01,Email Referral,770.22,152,19
176,2024-12-01,Organic Search,1300.83,256,32
177,2024-12-01,Google Ads,16119.16,438,73
178,2024-12-01,LinkedIn Ads,18901.76,243,54
179,2024-12-01,Content Marketing,4527.24,185,37
180,2024-12-01,Email Referral,755.19,144,18
181,2025-01-01,Organic Search,1245.45,248,31
182,2025-01-01,Google Ads,15248.7,414,69
183,2025-01-01,LinkedIn Ads,16812.6,216,48
184,2025-01-01,Content Marketing,4739.05,195,39
185,2025-01-01,Email Referral,761.16,152,19
186,2025-02-01,Organic Search,1318.37,256,32
187,2025-02-01,Google Ads,15852.33,432,72
188,2025-02-01,LinkedIn Ads,17112.7,216,48
189,2025-02-01,Content Marketing,4526.57,185,37
190,2025-02-01,Email Referral,843.25,168,21
191,2025-03-01,Organic Search,1255.79,248,31
192,2025-03-01,Google Ads,14632.06,396,66
193,2025-03-01,LinkedIn Ads,19596.68,247,55
194,2025-03-01,Content Marketing,4156.76,170,34
195,2025-03-01,Email Referral,743.75,144,18
196,2025-04-01,Organic Search,1152.02,224,28
197,2025-04-01,Google Ads,14895.49,402,67
198,2025-04-01,LinkedIn Ads,17310.55,220,49
199,2025-04-01,Content Marketing,4338.49,180,36
200,2025-04-01,Email Referral,819.55,160,20
201,2025-05-01,Organic Search,1144.45,224,28
202,2025-05-01,Google Ads,15990.04,432,72
203,2025-05-01,LinkedIn Ads,19765.83,252,56
204,2025-05-01,Content Marketing,4724.48,195,39
205,2025-05-01,Email Referral,877.01,168,21
206,2025-06-01,Organic Search,1102.07,216,27
207,2025-06-01,Google Ads,14348.71,390,65
208,2025-06-01,LinkedIn Ads,19355.04,247,55
209,2025-06-01,Content Marketing,4930.65,205,41
210,2025-06-01,Email Referral,834.8,160,20
211,2025-07-01,Organic Search,1165.39,232,29
212,2025-07-01,Google Ads,15821.56,426,71
213,2025-07-01,LinkedIn Ads,16917.77,216,48
214,2025-07-01,Content Marketing,4610.1,190,38
215,2025-07-01,Email Referral,793.04,152,19
216,2025-08-01,Organic Search,1220.24,240,30
217,2025-08-01,Google Ads,14598.03,396,66
218,2025-08-01,LinkedIn Ads,19338.22,247,55
219,2025-08-01,Content Marketing,4844.09,200,40
220,2025-08-01,Email Referral,786.37,152,19
221,2025-09-01,Organic Search,1264.79,248,31
222,2025-09-01,Google Ads,14233.09,384,64
223,2025-09-01,LinkedIn Ads,19612.26,252,56
224,2025-09-01,Content Marketing,4471.42,185,37
225,2025-09-01,Email Referral,812.38,160,20
226,2025-10-01,Organic Search,1309.53,256,32
227,2025-10-01,Google Ads,14023.87,378,63
228,2025-10-01,LinkedIn Ads,18588.98,238,53
229,2025-10-01,Content Marketing,4556.86,185,37
230,2025-10-01,Email Referral,828.34,160,20
231,2025-11-01,Organic Search,1104.59,216,27
232,2025-11-01,Google Ads,15077.54,408,68
233,2025-11-01,LinkedIn Ads,16752.54,211,47
234,2025-11-01,Content Marketing,4868.59,200,40
235,2025-11-01,Email Referral,758.08,144,18
236,2025-12-01,Organic Search,1167.59,232,29
237,2025-12-01,Google Ads,14883.71,402,67
238,2025-12-01,LinkedIn Ads,18718.28,238,53
239,2025-12-01,Content Marketing,4578.29,190,38
240,2025-12-01,Email Referral,815.1,160,20
